pos_name,brand_line,proof,category,region,sub_region,whiskey_type_id,all_upcs
Hillrock Estate Distillery Single Malt Whiskey,Hillrock Estate Distillery,96.4,American,Other,Other,9349cb96-a41d-42f2-b98e-e2d11aa346a8,19962341700|748252864147|793888610132|797734002959
13th Century Whiskey American Straight Bourbon Whiskey,13th Century Whiskey,132.8,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962404405|793888499843
McKenzie Single Barrel Bourbon Whiskey 4 Year,McKenzie,110.7,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962498336
Kaiyo Whisky Japanese Mizanura Oak,Kaiyo Whisky,86.0,Japanese,Japan,Other,de5a94e4-b203-486e-bec7-5c092d50b039,19962765810|19962765919
Kaiyo Whisky Cask Strength Japanese Mizanura Oak,Kaiyo Whisky,106.0,Japanese,Japan,Other,de5a94e4-b203-486e-bec7-5c092d50b039,19962766015
James E. Pepper 1776 Straight Bourbon Whiskey Old Style,James E. Pepper 1776,100.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962788536|19962789632
James E. Pepper 1776 Straight Rye​ Whiskey ​Finished in PX Sherry Casks,James E. Pepper 1776,92.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,19962788632
James E. Pepper Old Henry Clay Whiskey Straight Rye Whiskey,James E. Pepper Old Henry Clay,86.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,19962788635
Old Pepper Straight Rye Whiskey,Old Pepper,109.2,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,19962788833
James E. Pepper 1776 Straight Rye​ Whiskey ​Finished in Sherry Casks,James E. Pepper 1776,92.0,American,Other,Other,d20cf63e-5736-4572-9c23-6f899b216a57,19962789137
Old Pepper Straight Bourbon Whiskey 10 Year,Old Pepper,115.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,19962789533
Colorado Gold Rocky Mountain Whiskey Straight Bourbon,Colorado Gold,90.0,American,Other,Other,85050bc9-99b4-469a-84a2-dc3abf7ed1d0,20140050208
